Booking_ID,Trip_ID,Employee_ID,Route_ID,Vehicle_ID,Booking_Date,Booking_Status
B001,T001,E001,R001,V001,2026-08-03,Booked
B002,T001,E002,R001,V001,2026-08-03,Booked
B003,T001,E010,R001,V001,2026-08-03,Booked
B004,T002,E010,R002,V002,2026-08-03,Booked
B005,T002,E018,R002,V002,2026-08-03,Booked
B006,T003,E004,R003,V003,2026-08-03,Booked
B007,T003,E006,R003,V003,2026-08-03,Booked
B008,T004,E003,R004,V005,2026-08-03,Booked
B009,T004,E011,R004,V005,2026-08-03,Booked
B010,T005,E012,R005,V006,2026-08-03,Booked
B011,T006,E001,R001,V001,2026-08-04,Booked
B012,T006,E013,R001,V001,2026-08-04,Booked
B013,T007,E002,R002,V002,2026-08-04,Booked
B014,T007,E018,R002,V002,2026-08-04,Booked
B015,T008,E004,R003,V003,2026-08-04,Booked
B016,T008,E006,R003,V003,2026-08-04,Booked
B017,T009,E007,R006,V004,2026-08-04,Booked
B018,T009,E014,R006,V004,2026-08-04,Booked
B019,T010,E015,R007,V005,2026-08-04,Booked
B020,T010,E015,R007,V005,2026-08-04,Cancelled
B021,T011,E001,R001,V001,2026-08-05,Booked
B022,T011,E013,R001,V001,2026-08-05,Booked
B023,T012,E004,R003,V003,2026-08-05,Booked
B024,T012,E006,R003,V003,2026-08-05,Booked
B025,T013,E003,R004,V005,2026-08-05,Booked
B026,T014,E012,R005,V006,Booked,
B027,T015,E008,R008,V004,2026-08-05,Booked
B028,T015,E016,R008,V004,2026-08-05,Booked
B029,T016,E001,R001,V001,2026-08-06,Booked
B030,T016,E010,R001,V001,2026-08-06,Booked
B031,T017,E002,R002,V002,2026-08-06,Booked
B032,T018,E004,R003,V003,2026-08-06,Booked
B033,T018,E006,R003,V003,2026-08-06,Booked
B034,T019,E007,R006,V004,2026-08-06,Booked
B035,T020,E009,R009,V005,2026-08-06,Booked
