Trip_ID,Trip_Date,Route_ID,Vehicle_ID,Vendor_Name,Scheduled_Pickup,Actual_Pickup,Scheduled_Arrival,Actual_Arrival,Trip_Status,Trip_Cost_INR,Delay_Reason
T001,2026-08-03,R001,V001,Whitefield Travels,08:00,08:12,08:45,08:52,Completed,1200,-
T002,2026-08-03,R002,V002,Bangalore Mobility,08:10,08:18,08:40,08:49,Completed,1100,Traffic
T003,2026-08-03,R003,V003,Whitefield Travels,07:45,07:48,08:30,08:34,Completed,1500,-
T004,2026-08-03,R004,V005,CityRide,08:15,08:15,08:50,08:50,Completed,1000,-
T005,2026-08-03,R005,V006,CityRide,08:20,08:35,08:55,09:08,Completed,950,Traffic
T006,2026-08-04,R001,V001,Whitefield Travels,08:00,08:04,08:45,08:48,Completed,1200,-
T007,2026-08-04,R002,V002,Bangalore Mobility,08:10,08:27,08:40,08:58,Completed,1100,Traffic
T008,2026-08-04,R003,V003,Whitefield Travels,07:45,07:46,08:30,08:32,Completed,1500,-
T009,2026-08-04,R006,V004,Bangalore Mobility,08:05,08:07,08:50,08:53,Completed,1300,-
T010,2026-08-04,R007,V005,CityRide,08:25,08:25,09:00,09:00,Completed,900,-
T011,2026-08-05,R001,V001,Whitefield Travels,08:00,08:09,08:45,08:55,Completed,1200,Traffic
T012,2026-08-05,R003,V003,Whitefield Travels,07:45,07:55,08:30,08:43,Completed,1500,Traffic
T013,2026-08-05,R004,V005,CityRide,08:15,08:16,08:50,08:52,Completed,1000,-
T014,2026-08-05,R005,V006,CityRide,08:20,08:20,08:55,08:55,Cancelled,950,Vehicle Breakdown
T015,2026-08-05,R008,V004,Bangalore Mobility,07:50,07:58,08:35,08:47,Completed,1250,Traffic
T016,2026-08-06,R001,V001,Whitefield Travels,08:00,08:02,08:45,08:46,Completed,1200,-
T017,2026-08-06,R002,V002,Bangalore Mobility,08:10,08:11,08:40,08:41,Completed,1100,-
T018,2026-08-06,R003,V003,Whitefield Travels,07:45,07:47,08:30,08:31,Completed,1500,-
T019,2026-08-06,R006,V004,Bangalore Mobility,08:05,08:20,08:50,09:05,Completed,1300,Traffic
T020,2026-08-06,R009,V005,CityRide,08:30,08:30,09:05,09:05,Completed,850,-
